id,type,source,target
120215,/,74544,55150
120216,/,84017,55150
120217,/,85801,55150
120218,/,93678,55150
120219,/,12238,57178
120220,/,18912,18911
120221,/,20572,28254
120222,/,20572,93366
120223,/,21177,5909
120224,/,21177,23124
120225,/,21177,36970
120226,/,21177,51194
120227,/,21177,83122
120228,/,21295,21286
120229,/,21432,21427
120230,/,21432,21428
120231,/,21432,21435
120232,/,21432,21439
120233,/,26520,6006
120234,/,26520,8888
120235,/,26520,11817
120236,/,26520,33370
120237,/,26520,37200
120238,/,26520,63403
120239,/,37774,57178
120240,/,41190,57178
120241,/,70510,57178
120242,/,84072,57178
120243,/,93767,57178
120244,/,104239,57178
120245,/,11101,59294
120246,/,23597,59294
120247,/,30531,59294
120248,/,110924,59294
120249,/,56495,68829
120250,/,83271,68829
120251,/,10132,70610
120252,/,70159,70302
120253,/,70182,70302
120254,/,70259,70302
120255,/,6719,79777
120256,/,24002,79777
120257,/,32485,79777
120258,/,21706,79777
120259,/,63616,79777
120260,/,86159,79777
120261,/,97828,79777
120262,/,78233,79948
120263,/,94572,79948
120264,/,79933,81550
120265,/,87214,86694
120266,/,32611,82379
120267,/,52268,82379
120268,/,94651,82379
120269,/,8893,92197
120270,/,9892,92197
120271,/,12062,92197
120272,/,13077,92197
120273,/,31084,92197
120274,/,34137,92197
120275,/,38853,92197
120276,/,52607,92197
120277,/,53131,92197
120278,/,63689,92197
120279,/,75153,92197
120280,/,78522,92197
120281,/,83929,92197
120282,/,86324,92197
120283,/,104802,92197
120284,/,109949,92197
120285,/,16014,97703
120286,/,27947,97703
120287,/,34172,97703
120288,/,42968,97703
120289,/,69805,97703
120290,/,79883,97703
120291,/,99309,97703
120292,/,101003,97703
120293,/,9946,97998
120294,/,15935,97998
120295,/,16630,97998
120296,/,24473,97998
120297,/,39099,97998
120298,/,86307,97998
120299,/,86639,97998
120300,/,104927,97998
120301,/,7098,98309
120302,/,24485,98309
120303,/,31137,98309
120304,/,34198,98309
120305,/,36496,98309
120306,/,39117,98309
120307,/,86656,98309
120308,/,96804,98309
120309,/,39223,99733
120310,/,21153,101613
120311,/,106207,106206
120312,/,106209,106206
120313,/,106275,106206
120314,/,106206,106275
120315,/,106207,106275
120316,/,106209,106275
120317,/,18018,17942
120318,/,42756,42697
120319,/,43645,43633
120320,/,43645,43652
120321,/,43645,43651
120322,/,46180,1015
120323,/,46180,9338
120324,/,46180,11904
120325,/,46180,23275
120326,/,46180,30221
120327,/,46180,33655
120328,/,46180,36562
120329,/,46180,37329
120330,/,46180,39008
120331,/,46180,67581
120332,/,46180,70621
120333,/,46180,83389
120334,/,46180,83726
120335,/,46180,93493
120336,/,46180,96430
120337,/,46180,103193
120338,/,46180,104029
120339,/,50469,50434
120340,/,50469,50435
120341,/,50469,50446
120342,/,54040,54043
120343,/,55150,6256
120344,/,55150,30383
120345,/,55150,51557
120346,/,55150,74544
120347,/,55150,84017
120348,/,55150,85801
120349,/,55150,93678
120350,/,57178,12238
120351,/,57178,30461
120352,/,57178,37774
120353,/,57178,41190
120354,/,57178,70510
120355,/,57178,84072
120356,/,57178,93767
120357,/,57178,104239
120358,/,59294,11101
120359,/,59294,23597
120360,/,59294,30531
120361,/,59294,110924
120362,/,61013,61009
120363,/,61013,61016
120364,/,61102,61095
120365,/,61102,61097
120366,/,61102,61098
120367,/,61102,61100
120368,/,61102,61101
120369,/,65148,65144
120370,/,65148,65146
120371,/,68829,25560
120372,/,68829,56495
120373,/,68829,83271
120374,/,69346,69344
120375,/,69493,69490
120376,/,69493,69491
120377,/,69493,69492
120378,/,69819,69743
120379,/,69819,69822
120380,/,70610,10132
120381,/,71132,72732
120382,/,71132,111892
120383,/,70302,70259
120384,/,78972,78968
120385,/,79777,6719
120386,/,79777,24002
120387,/,79777,32485
120388,/,79777,21706
120389,/,79777,63616
120390,/,79777,86159
120391,/,79777,97828
120392,/,79948,78233
120393,/,79948,94572
120394,/,81550,79937
120395,/,81550,79933
120396,/,86694,82620
120397,/,86694,87214
120398,/,82379,24082
120399,/,82379,52268
120400,/,82379,94651
120401,/,88256,88253
120402,/,88256,88258
120403,/,88256,88259
120404,/,91736,91733
120405,/,92197,8893
120406,/,92197,9892
120407,/,92197,12062
120408,/,92197,13077
120409,/,92197,24358
120410,/,92197,31084
120411,/,92197,34137
120412,/,92197,38853
120413,/,92197,52607
120414,/,92197,53131
120415,/,92197,75153
120416,/,92197,78522
120417,/,92197,83929
120418,/,92197,86324
120419,/,92197,97278
120420,/,92197,104802
120421,/,92197,109949
120422,/,97703,16014
120423,/,97703,27947
120424,/,97703,34172
120425,/,97703,42968
120426,/,97703,69805
120427,/,97703,79883
120428,/,97703,81648
120429,/,26520,95636
120430,/,97998,9946
120431,/,97998,15935
120432,/,97998,16630
120433,/,97998,24473
120434,/,97998,39099
120435,/,97998,86307
120436,/,97998,86639
120437,/,97998,96783
120438,/,97998,104927
120439,/,98309,7098
120440,/,98309,24485
120441,/,98309,31137
120442,/,98309,34198
120443,/,98309,36496
120444,/,98309,86656
120445,/,98309,96804
120446,/,98309,103106
120447,/,99733,39223
120448,/,100036,100051
120449,/,101217,100402
120450,/,101217,101224
120451,/,101613,21153
120452,/,106207,106204
120453,/,106207,106208
120454,/,106207,106209
120455,/,106207,106276
120456,/,106206,106204
120457,/,106206,106207
120458,/,106206,106208
120459,/,106206,106209
120460,/,106275,106204
120461,/,106275,106207
120462,/,106275,106208
120463,/,106275,106209
120464,/,106275,106276
120465,/,110584,109359
120466,/,111538,70849
120467,/,111538,70848
120468,/,111538,2941
120469,/,111538,2940
120470,/,111538,2939
120471,/,111538,3040
120472,/,111654,70569
120473,/,111654,70555
120474,!,18102,103721
120475,!,18102,73232
120476,!,19675,26304
120477,!,22602,43269
120478,!,31471,3554
120479,!,31471,3553
120480,!,49624,204
120481,!,61102,22724
120482,!,61739,87611
120483,!,67521,21122
120484,!,109209,14148
120485,\,2405,2431
120486,\,2407,2431
120487,\,2408,2431
120488,\,2409,2431
120489,\,2410,2431
120490,\,2414,2431
120491,\,2415,2431
120492,\,2416,2431
120493,\,2417,2431
120494,\,2418,2431
120495,\,2419,2431
120496,\,2420,2431
120497,\,2421,2431
120498,\,2422,2431
120499,\,2423,2431
120500,\,2424,2431
120501,\,2425,2431
120502,\,2426,2431
120503,\,2427,2431
120504,\,2428,2431
120505,\,2429,2431
120506,\,2430,2431
120507,\,2432,2431
120508,\,2434,2431
120509,\,2435,2431
120510,\,2436,2431
120511,\,2437,2431
120512,\,2054,2056
120513,\,2336,2452
120514,\,2337,2452
120515,\,2338,2452
120516,\,2339,2452
120517,\,2341,2452
120518,\,2343,2452
120519,\,2344,2452
120520,\,23315,2452
120521,\,35820,2452
120522,\,35821,2452
120523,\,51441,2452
120524,\,74408,2452
120525,\,80838,2452
120526,\,94935,2452
120527,\,2336,2460
120528,\,2337,2460
120529,\,2338,2460
120530,\,2339,2460
120531,\,2341,2460
120532,\,2343,2460
120533,\,2344,2460
120534,\,23315,2460
120535,/,97703,101003
120536,\,51441,2460
120537,\,74408,2460
120538,\,80838,2460
120539,\,94933,2460
120540,\,94935,2460
120541,\,2336,2444
120542,\,2337,2444
120543,\,2338,2444
120544,\,2341,2444
120545,\,2343,2444
120546,\,2344,2444
120547,\,23315,2444
120548,\,35820,2444
120549,\,35821,2444
120550,\,51441,2444
120551,\,74408,2444
120552,\,80838,2444
120553,\,94933,2444
120554,\,94935,2444
120555,\,2336,2493
120556,\,2337,2493
120557,\,2338,2493
120558,\,2339,2493
120559,\,2341,2493
120560,\,2343,2493
120561,\,2344,2493
120562,\,35820,2493
120563,\,35821,2493
120564,\,51441,2493
120565,\,74408,2493
120566,\,80838,2493
120567,\,94933,2493
120568,\,94935,2493
120569,\,2019,111899
120570,\,2021,111899
120571,\,2022,111899
120572,\,2586,2599
120573,\,7180,16586
120574,\,7179,16586
120575,\,15376,16586
120576,\,16467,16586
120577,\,16482,16586
120578,\,16490,16586
120579,\,16496,16586
120580,\,16498,16586
120581,\,16499,16586
120582,\,16500,16586
120583,\,16501,16586
120584,\,16502,16586
120585,\,16504,16586
120586,\,16505,16586
120587,\,16508,16586
120588,\,16510,16586
120589,\,16516,16586
120590,\,16517,16586
120591,\,7180,16848
120592,\,7179,16848
120593,\,15376,16848
120594,\,16467,16848
120595,\,16482,16848
120596,\,16490,16848
120597,\,16496,16848
120598,\,16498,16848
120599,\,16499,16848
120600,\,16500,16848
120601,\,16501,16848
120602,\,16502,16848
120603,\,16504,16848
120604,\,16505,16848
120605,\,16508,16848
120606,\,16510,16848
120607,\,16516,16848
120608,\,16517,16848
120609,\,6,10493
120610,\,215,219
120611,\,231,219
120612,\,218,219
120613,\,209,219
120614,\,215,218
120615,\,231,218
120616,\,209,218
120617,\,667,666
120618,\,72945,992
120619,\,10482,1749
120620,\,10500,1749
120621,\,10501,1749
120622,\,14769,1749
120623,\,63898,1749
120624,\,3087,3093
120625,\,6295,3093
120626,\,3252,3254
120627,\,3252,112116
120628,\,3588,3615
120629,\,3589,3615
120630,\,3590,3615
120631,\,3591,3615
120632,\,3592,3615
120633,\,3598,3615
120634,\,4046,4147
120635,\,35821,2460
120636,\,4741,112122
120637,\,4642,4645
120638,\,4646,4645
120639,\,4648,4645
120640,\,4685,4681
120641,\,4693,4681
120642,\,5306,5310
120643,\,6442,6449
120644,\,10296,10301
120645,\,10297,10301
120646,\,10298,10301
120647,\,10299,10301
120648,\,10300,10301
120649,\,10302,10301
120650,\,6410,6441
120651,\,6411,6441
120652,\,6415,6441
120653,\,27008,6441
120654,\,36028,6441
120655,\,41147,6441
120656,\,36034,6593
120657,\,82751,6593
120658,\,84771,6593
120659,\,95092,6593
120660,\,6964,6971
120661,\,8349,8352
120662,\,8351,8352
120663,\,9605,112126
120664,\,9604,112126
120665,\,9174,112126
120666,\,32955,112126
120667,\,6592,9491
120668,\,6593,9491
120669,\,8885,9491
120670,\,8886,9491
120671,\,8887,9491
120672,\,8888,9491
120673,\,84832,9491
120674,\,10921,10948
120675,\,10925,10948
120676,\,112129,112130
120677,\,13893,13896
120678,\,13901,13896
120679,\,13977,14027
120680,\,13998,14027
120681,\,14083,14027
120682,\,76738,14027
120683,\,87484,14027
120684,\,14112,14027
120685,\,13977,14026
120686,\,14006,14026
120687,\,13998,14026
120688,\,14083,14026
120689,\,76738,14026
120690,\,87484,14026
120691,\,14112,14026
120692,\,13977,14005
120693,\,14006,14005
120694,\,13998,14005
120695,\,14083,14005
120696,\,76738,14005
120697,\,87484,14005
120698,\,14989,14988
120699,\,15302,15304
120700,\,15598,15580
120701,\,15729,15580
120702,\,15599,15580
120703,\,15730,15580
120704,\,15600,15580
120705,\,15602,15580
120706,\,15763,15765
120707,\,16072,16074
120708,\,16073,16074
120709,\,16072,16371
120710,\,16073,16371
120711,\,17726,17729
120712,\,17727,17729
120713,\,17728,17729
120714,\,17730,17729
120715,\,17731,17729
120716,\,17726,2084
120717,\,17727,2084
120718,\,17728,2084
120719,\,17730,2084
120720,\,17731,2084
120721,\,17732,2084
120722,\,4335,4336
120723,\,4337,4336
120724,\,4338,4336
120725,\,4339,4336
120726,\,4340,4336
120727,\,4341,4336
120728,\,4342,4336
120729,\,11495,11505
120730,\,11496,11505
120731,\,11500,11505
120732,\,11504,11505
120733,\,11507,11505
120734,\,11510,11505
120735,\,4740,112122
120736,\,11513,11505
120737,\,11517,11505
120738,\,770,806
120739,\,1270,1290
120740,\,1277,1290
120741,\,25275,1290
120742,\,112138,1411
120743,\,2724,3406
120744,\,4082,4189
120745,\,4133,4189
120746,\,4163,4189
120747,\,112123,4726
120748,\,4721,4726
120749,\,4723,4726
120750,\,6853,6854
120751,\,6935,6936
120752,\,8509,8504
120753,\,8875,10407
120754,\,10349,10407
120755,\,10421,10407
120756,\,10471,10472
120757,\,10471,11073
120758,\,10471,11072
120759,\,12831,12848
120760,\,12830,12848
120761,\,12841,12848
120762,\,12830,13425
120763,\,12841,13425
120764,\,14289,14329
120765,\,14271,14329
120766,\,14697,14701
120767,\,14698,14701
120768,\,14631,14734
120769,\,14632,14734
120770,\,14633,14734
120771,\,14634,14734
120772,\,14635,14734
120773,\,14636,14734
120774,\,14637,14734
120775,\,14638,14734
120776,\,14639,14734
120777,\,14640,14734
120778,\,14641,14734
120779,\,14642,14734
120780,\,14644,14734
120781,\,14645,14734
120782,\,14646,14734
120783,\,14647,14734
120784,\,14648,14734
120785,\,14649,14734
120786,\,112144,15859
120787,\,17586,17590
120788,\,17588,17590
120789,\,17589,17590
120790,\,17746,17750
120791,\,17747,17750
120792,\,17748,17750
120793,\,17749,17750
120794,\,17751,17750
120795,\,17773,467
120796,\,17774,467
120797,\,17775,467
120798,\,17778,467
120799,\,17779,467
120800,\,17780,467
120801,\,17781,467
120802,\,17782,467
120803,\,17783,467
120804,\,17784,467
120805,\,17785,467
120806,\,17788,467
120807,\,17790,467
120808,\,17791,467
120809,\,17792,467
120810,\,17793,467
120811,\,18257,18262
120812,\,18259,18262
120813,\,18255,18262
120814,\,18266,18262
120815,\,29924,18262
120816,\,64752,18262
120817,\,18533,18613
120818,\,17923,18018
120819,\,18404,18407
120820,\,18280,18381
120821,\,18400,18381
120822,\,18407,18381
120823,\,18489,18524
120824,\,18490,18524
120825,\,18491,18524
120826,\,18492,18524
120827,\,18494,18524
120828,\,18495,18524
120829,\,18496,18524
120830,\,18497,18524
120831,\,18498,18524
120832,\,18910,18912
120833,\,18875,18876
120834,\,18878,18876
120835,\,11512,11505
120836,\,19628,19675
120837,\,19627,19675
120838,\,19639,19675
120839,\,100548,19675
120840,\,20860,21270
120841,\,20861,21270
120842,\,20863,21270
120843,\,20865,21270
120844,\,20299,20297
120845,\,20300,20297
120846,\,20301,20297
120847,\,20399,20400
120848,\,103808,20906
120849,\,20938,21031
120850,\,79838,21177
120851,\,79838,21211
120852,\,21294,21295
120853,\,21556,21594
120854,\,21566,21594
120855,\,21574,21594
120856,\,21573,21594
120857,\,21582,21594
120858,\,21598,21594
120859,\,21601,21594
120860,\,111931,111920
120861,\,25302,25301
120862,\,27415,27417
120863,\,21811,21813
120864,\,22088,22083
120865,\,22217,22229
120866,\,22230,22229
120867,\,22323,22325
120868,\,22324,22325
120869,\,22525,22602
120870,\,111939,23597
120871,\,1186,111940
120872,\,9267,111940
120873,\,83204,111940
120874,\,83203,111940
120875,\,1186,23656
120876,\,9267,23656
120877,\,83204,23656
120878,\,83203,23656
120879,\,26306,26304
120880,\,8888,26520
120881,\,11817,26520
120882,\,33370,26520
120883,\,37200,26520
120884,\,63403,26520
120885,\,83302,26520
120886,\,95636,26520
120887,\,26602,26607
120888,\,26603,26607
120889,\,26604,26607
120890,\,26605,26607
120891,\,26606,26607
120892,\,1407,26928
120893,\,1407,27550
120894,\,111925,111944
120895,\,43252,43253
120896,\,43254,43253
120897,\,43255,43253
120898,\,42792,42756
120899,\,42715,42756
120900,\,42751,42756
120901,\,42728,42756
120902,\,42741,42756
120903,\,42746,42756
120904,\,42815,42819
120905,\,42817,42819
120906,\,42818,42819
120907,\,42820,42819
120908,\,42997,42998
120909,\,42999,42998
120910,\,43000,42998
120911,\,43001,42998
120912,\,41627,41628
120913,\,42554,42562
120914,\,42558,42562
120915,\,43117,43118
120916,\,28674,28679
120917,\,31647,31646
120918,\,31656,31658
120919,\,31657,31658
120920,\,31754,31769
120921,\,32265,32266
120922,\,9022,33498
120923,\,36552,33498
120924,\,63845,33498
120925,\,75717,33498
120926,\,95912,33498
120927,\,102769,33498
120928,\,112154,37330
120929,\,37224,37227
120930,\,40565,40566
120931,\,7961,40678
120932,\,11283,40678
120933,\,25107,40678
120934,\,36659,40678
120935,\,19597,19592
120936,\,77649,40678
120937,\,83629,40678
120938,\,96258,40678
120939,\,40802,40834
120940,\,40870,40874
120941,\,43435,43445
120942,\,43436,43445
120943,\,43437,43445
120944,\,43439,43445
120945,\,43440,43445
120946,\,43441,43445
120947,\,43442,43445
120948,\,43443,43445
120949,\,43444,43445
120950,\,43446,43445
120951,\,43642,43645
120952,\,43614,43645
120953,\,43634,43645
120954,\,43642,112158
120955,\,43614,112158
120956,\,43634,112158
120957,\,29815,31471
120958,\,29824,31471
120959,\,29905,31471
120960,\,35256,35257
120961,\,35267,35268
120962,\,29044,30101
120963,\,29046,30101
120964,\,29061,30101
120965,\,29048,30101
120966,\,29059,30101
120967,\,44448,30101
120968,\,32040,32374
120969,\,36523,32374
120970,\,32040,32373
120971,\,36523,32373
120972,\,32384,32390
120973,\,33677,33647
120974,\,33678,33647
120975,\,31782,40825
120976,\,85571,40825
120977,\,11274,40825
120978,\,25103,40825
120979,\,29576,40825
120980,\,53197,40825
120981,\,75824,40825
120982,\,77648,40825
120983,\,85509,40825
120984,\,96253,40825
120985,\,41069,41068
120986,\,40706,40718
120987,\,111974,40971
120988,\,45134,45149
120989,\,45150,45149
120990,\,45151,45149
120991,\,45152,45149
120992,\,112022,44466
120993,\,45930,45932
120994,\,45931,45932
120995,\,69537,46102
120996,\,9339,46182
120997,\,9339,46180
120998,\,45682,45687
120999,\,19050,46556
121000,\,81739,46556
121001,\,111514,46556
121002,\,57879,46556
121003,\,19050,46555
121004,\,81739,46555
121005,\,111514,46555
121006,\,57879,46555
121007,\,7446,46288
121008,\,1828,46288
121009,\,14726,46288
121010,\,44761,46288
121011,\,46259,46288
121012,\,46260,46288
121013,\,46261,46288
121014,\,46262,46288
121015,\,46263,46288
121016,\,46265,46288
121017,\,46266,46288
